,Courses
8631,"
                                    PHYS 230 - Electricity and Magnetism
                            "
8632,"
                                    PHYS 234 - Introductory Computational Physics
                            "
8633,"
                                    PHYS 244 - Mechanics
                            "
8634,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PHYS 244 - Classical Mechanics I
                            "
8635,"
                                    PHYS 261 - Physics of Energy
                            "
8636,"
                                    PHYS 271 - Introduction to Modern Physics
                            "
8637,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PHYS 271 - Introduction to Modern Physics
                            "
8638,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PHYS 271 - Introduction to Modern Physics
                            "
8639,"
                                    PHYS 281 - Electricity and Magnetism
                            "
8640,"
                                    PHYS 292A - Experimental Physics for Engineers
                            "
8641,"
                                    PHYS 292B - Experimental Physics for Engineers
                            "
8642,"
                                    PHYS 294 - General Physics Laboratory
                            "
8643,"
                                    PHYS 295 - Experimental Physics I
                            "
8644,"
                                    PHYS 297 - Experimental Physics II
                            "
8645,"
                                    PHYS 301 - Particles, Nuclei, and the Cosmos
                            "
8646,"
                                    PHYS 308 - Statistical, Molecular, and Solid State Physics
                            "
8647,"
                                    PHYS 310 - Thermodynamics and Kinetic Theory
                            "
8648,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PHYS 310 - Thermodynamics and Kinetic Theory
                            "
8649,"
                                    PHYS 311 - Statistical Physics
                            "
8650,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PHYS 311 - Statistical Physics
                            "
8651,"
                                    PHYS 362 - Optics and Lasers
                            "
8652,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PHYS 362 - Optics and Lasers
                            "
8653,"
                                    PHYS 364 - Environmental Physics II
                            "
8654,"
                                    PHYS 372 - Quantum Mechanics A
                            "
8655,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PHYS 372 - Quantum Mechanics A
                            "
8656,"
                                    PHYS 381 - Electromagnetic Theory I
                            "
8657,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PHYS 381 - Electromagnetic Theory I
                            "
8658,"
                                    PHYS 397 - Projects in Experimental Physics
                            "
8659,"
                                    PHYS 415 - Introduction to Condensed Matter Physics I
                            "
8660,"
                                    PHYS 420 - Computational Physics
                            "
8661,"
                                    PHYS 458 - Special and General Relativity
                            "
8662,"
                                    PHYS 467 - Fundamentals of Continuum Mechanics
                            "
8663,"
                                    PHYS 472 - Quantum Mechanics B
                            "
8664,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PHYS 472 - Quantum Mechanics B
                            "
8665,"
                                    PHYS 481 - Electromagnetic Theory II
                            "
8666,"
                                    PHYS 485 - Introductory Particle Physics
                            "
8667,"
                                    PHYS 495 - Special Topics in Physics
                            "
8668,"
                                    PHYS 499 - Undergraduate Research Project
                            "
8669,"
                                    PHYS 511 - Advanced Quantum Mechanics I
                            "
8670,"
                                    PHYS 512 - Advanced Quantum Mechanics II
                            "
8671,"
                                    PHYS 524 - Classical Electrodynamics
                            "
8672,"
                                    PHYS 530 - Statistical Mechanics
                            "
8673,"
                                    PHYS 541 - Condensed Matter Physics I
                            "
8674,"
                                    PHYS 543 - Condensed Matter Physics II
                            "
8675,"
                                    PHYS 574 - Experimental Methods in Physics
                            "
8676,"
                                    PHYS 580 - Computational Physics
                            "
8677,"
                                    PHYS 590 - Particle Physics II
                            "
8678,"
                                    PHYS 595 - Special Topics in Physics
                            "
8679,"
                                    PHYS 610 - Quantum Field Theory I
                            "
8680,"
                                    PHYS 635 - Statistical Theory of Plasmas
                            "
8681,"
                                    PHYS 696 - Black Hole Physics
                            "
8682,"
                                    PHYS 699 - Special Topics in Theoretical Physics
                            "
8683,"
                                    PHYSE 152A - Physiologie
                            "
8684,"
                                    PHYSE 152B - Physiologie
                            "
8685,"
                                    PHYSE 210 - Physiologie humaine
                            "
8686,"
                                    PHYSL 210A - Human Physiology
                            "
8687,"
                                    PHYSL 210B - Human Physiology
                            "
8688,"
                                    PHYSL 212 - Human Physiology I
                            "
8689,"
                                    PHYSL 214 - Human Physiology II
                            "
8690,"
                                    PHYSL 310 - Experimental Techniques in Physiology
                            "
8691,"
                                    PHYSL 372 - Systems Neuroscience
                            "
8692,"
                                    PHYSL 400 - Reproductive Physiology
                            "
8693,"
                                    PHYSL 403 - Neuroendoimmunomodulation
                            "
8694,"
                                    PHYSL 404 - Cardiovascular Physiology
                            "
8695,"
                                    PHYSL 405 - Sensory Physiology
                            "
8696,"
                                    PHYSL 407 - Molecular and Cellular Physiology
                            "
8697,"
                                    PHYSL 409 - Homeostatic Physiology
                            "
8698,"
                                    PHYSL 410 - Clinical & Translational Physiology
                            "
8699,"
                                    PHYSL 412 - Physiology in History and Popular Culture
                            "
8700,"
                                    PHYSL 413 - Fetal Physiology
                            "
8701,"
                                    PHYSL 444 - Current Topics in Neuroscience
                            "
8702,"
                                    PHYSL 455 - Physiology of Lipids and Lipoproteins
                            "
8703,"
                                    PHYSL 456 - Advanced Respiratory Physiology
                            "
8704,"
                                    PHYSL 457 - Exercise Physiology
                            "
8705,"
                                    PHYSL 461 - Undergraduate Research Project
                            "
8706,"
                                    PHYSL 463 - Advanced Topics in Physiology Research I
                            "
8707,"
                                    PHYSL 464 - Advanced Topics in Physiology Research II
                            "
8708,"
                                    PHYSL 466 - Undergraduate Tutorial
                            "
8709,"
                                    PHYSL 467A - Undergraduate Research Project
                            "
8710,"
                                    PHYSL 467B - Undergraduate Research Project
                            "
8711,"
                                    PHYSL 468 - Undergraduate Research Thesis I
                            "
8712,"
                                    PHYSL 469 - Undergraduate Research Thesis II
                            "
8713,"
                                    PHYSL 500 - Reproductive Physiology
                            "
8714,"
                                    PHYSL 501 - Topics in Cardiovascular Physiology
                            "
8715,"
                                    PHYSL 502 - Problems in Current Research
                            "
8716,"
                                    PHYSL 503 - Neuroendoimmunomodulation
                            "
8717,"
                                    PHYSL 504 - Cardiovascular Physiology
                            "
8718,"
                                    PHYSL 505 - Sensory Physiology
                            "
8719,"
                                    PHYSL 506 - Tutorial and Seminar Course
                            "
8720,"
                                    PHYSL 507 - Molecular and Cellular Physiology
                            "
8721,"
                                    PHYSL 509 - Homeostatic Physiology
                            "
8722,"
                                    PHYSL 510 - Clinical & Translational Physiology
                            "
8723,"
                                    PHYSL 512 - Physiology in History & Popular Culture
                            "
8724,"
                                    PHYSL 513 - Fetal Physiology
                            "
8725,"
                                    PHYSL 544 - Current Topics in Neuroscience
                            "
8726,"
                                    PHYSL 545 - Physiology of Transport Systems
                            "
8727,"
                                    PHYSL 555 - Physiology of Lipids and Lipoproteins
                            "
8728,"
                                    PHYSL 600 - Colloquia in Physiology
                            "
8729,"
                                    PHYSL 698 - Undergraduate Research Mentoring
                            "
8730,"
                                    PHYSL 699A - Undergraduate Research Mentoring
                            "
8731,"
                                    PHYSL 699B - Undergraduate Research Mentoring
                            "
8732,"
                                    PHYSQ 124 - Particules et ondes
                            "
8733,"
                                    PHYSQ 126 - Fluides, champs et radiation
                            "
8734,"
                                    PHYSQ 130 - Ondes, optique et son
                            "
8735,"
                                    PHYSQ 131 - Mécanique
                            "
8736,"
                                    PHYSQ 208 - Aspects de la physique moderne
                            "
8737,"
                                    PHYSQ 261 - Physique de l'énergie et de l'environnement
                            "
8738,"
                                    PHYSQ 271 - Introduction à la physique moderne
                            "
8739,"
                                    PL SC 100 - Plants in our Lives
                            "
8740,"
                                    PL SC 200 - Urban Plants: Gardening and Sustainability
                            "
8741,"
                                    PL SC 210 - Exploring Field Crop Agronomy
                            "
8742,"
                                    PL SC 221 - Introduction to Plant Science
                            "
8743,"
                                    PL SC 310 - Insects in Cropping Systems
                            "
8744,"
                                    PL SC 324 - Crop Ecophysiology
                            "
8745,"
                                    PL SC 345 - Plants for Bioproducts
                            "
8746,"
                                    PL SC 352 - Invasive Alien Plants: Biology and Control
                            "
8747,"
                                    PL SC 354 - Forage Crops
                            "
8748,"
                                    PL SC 355 - Cereal, Oilseed, and Pulse Crops
                            "
8749,"
                                    PL SC 365 - Genetic Improvement of Crop Plants
                            "
8750,"
                                    PL SC 380 - Principles of Plant Pathology
                            "
8751,"
                                    PL SC 400 - Individual Study
                            "
8752,"
                                    PL SC 470 - Physiology of Herbicidal Action
                            "
8753,"
                                    PL SC 481 - Diseases of Field and Horticultural Crops
                            "
8754,"
                                    PL SC 491 - Biotechnology for Crop Improvement
                            "
8755,"
                                    PL SC 495 - Integrated Crop Protection
                            "
8756,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PL SC 495 - Integrated Crop Protection
                            "
8757,"
                                    PL SC 499 - Cropping Systems
                            "
8758,"
                                    PLAN 210 - Introductory Planning History and Practice
                            "
8759,"
                                    PLAN 211 - Introduction to Design Fundamentals for Planners
                            "
8760,"
                                    PLAN 310 - Land Use Planning and Policy
                            "
8761,"
                                    PLAN 315 - Community Planning and Engagement
                            "
8762,"
                                    PLAN 316 - Planning Law
                            "
8763,"
                                    PLAN 317 - Planning Theory
                            "
8764,"
                                    PLAN 355 - Environmental Planning
                            "
8765,"
                                    PLAN 399 - Research Methods in Planning
                            "
8766,"
                                    PLAN 410 - Professional Planning Practice and Ethics
                            "
8767,"
                                    PLAN 412 - Finance for Planners
                            "
8768,"
                                    PLAN 470 - Geographical Information Systems for Planning
                            "
8769,"
                                    PLAN 485 - Advanced Topics in Planning
                            "
8770,"
                                    PLAN 495 - Planning Studio
                            "
8771,"
                                    PLAN 499 - Planning Field School
                            "
8772,"
                                    PLAN 499A - Planning Field School
                            "
8773,"
                                    PLAN 499B - Planning Field School
                            "
8774,"
                                    PLAN 500 - Planning for Resilient Cities and Regions
                            "
8775,"
                                    PLAN 501 - Planning for Northern Regions and Resource Communities
                            "
8776,"
                                    PLAN 503 - Master's Project Proposal
                            "
8777,"
                                    PLAN 505 - Master's Major Project
                            "
8778,"
                                    PLAN 505A - Master's Major Project
                            "
8779,"
                                    PLAN 505B - Master's Major Project
                            "
8780,"
                                    PLAN 506 - Master's Planning Internship
                            "
8781,"
                                    PLAN 510 - Physical Planning and Design Fundamentals
                            "
8782,"
                                    PLAN 511 - Professional Practice and Ethics
                            "
8783,"
                                    PLAN 512 - Advanced Finance for Planners
                            "
8784,"
                                    PLAN 515 - Community Planning and Engagement
                            "
8785,"
                                    PLAN 516 - Planning Law
                            "
8786,"
                                    PLAN 517 - Advanced Planning Theory
                            "
8787,"
                                    PLAN 520 - Directed Study in Urban and Regional Planning
                            "
8788,"
                                    PLAN 520A - Directed Study in Urban and Regional Planning
                            "
8789,"
                                    PLAN 520B - Directed Study in Urban and Regional Planning
                            "
8790,"
                                    PLAN 555 - Advanced Environmental Planning
                            "
8791,"
                                    PLAN 570 - Advanced GIS for Planners
                            "
8792,"
                                    PLAN 585 - Advanced Topics in Planning
                            "
8793,"
                                    PLAN 595 - Advanced Planning Studio
                            "
8794,"
                                    PLAN 598 - Advanced Research Methods and Analysis
                            "
8795,"
                                    PLAN 599 - Advanced Practical Field Study in Planning
                            "
8796,"
                                    PMCOL 200 - Drugs - An Introduction to Pharmacology
                            "
8797,"
                                    PMCOL 300 - Introduction to Pharmacology
                            "
8798,"
                                    PMCOL 301 - Introduction to Research in Pharmacology
                            "
8799,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PMCOL 301 - Introduction to Research in Pharmacology
                            "
8800,"
                                    PMCOL 302 - Introduction to Research in Pharmacology
                            "
8801,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PMCOL 302 - Introduction to Research in Pharmacology
                            "
8802,"
                                    PMCOL 303 - Introduction to Toxicology
                            "
8803,"
                                    PMCOL 305 - An Introduction to the Pharmacology of Drug Abuse
                            "
8804,"
                                    PMCOL 306 - Drug Dispostition and Metabolism
                            "
8805,"
                                    PMCOL 337 - Experimental Procedures in Pharmacology
                            "
8806,"
                                    PMCOL 343 - Scientific Basis of Pharmacology: Part I
                            "
8807,"
                                    PMCOL 344 - Scientific Basis of Pharmacology: Part II
                            "
8808,"
                                    PMCOL 371 - Cellular Neuroscience
                            "
8809,"
                                    PMCOL 401 - Pharmacology Tutorial
                            "
8810,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PMCOL 401 - Pharmacology Tutorial
                            "
8811,"
                                    PMCOL 402 - Pharmacology Tutorial
                            "
8812,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PMCOL 402 - Pharmacology Tutorial
                            "
8813,"
                                    PMCOL 403 - Advanced Topics in Pharmacology
                            "
8814,"
                                    
                                        Starting: 2023-09-01
                                    
                                    PMCOL 403 - Advanced Topics in Pharmacology
                            "
8815,"
                                    PMCOL 404 - Core Principles in Pharmacology
                            "
8816,"
                                    PMCOL 406 - Molecular Mechanisms of Drug Action
                            "
8817,"
                                    PMCOL 408 - Clinical Pharmacology
                            "
8818,"
                                    PMCOL 410 - Pharmacogenomics
                            "
8819,"
                                    PMCOL 412 - Drugs and the Nervous System
                            "
8820,"
                                    PMCOL 415 - Cardiovascular Pharmacology
                            "
8821,"
                                    PMCOL 416 - Current Topics in Endocrine Pharmacology
                            "
8822,"
                                    PMCOL 425 - Problem Solving in Pharmacology and Therapeutics
                            "
8823,"
                                    PMCOL 450 - Diabetes and Its Pharmacotherapy
                            "
8824,"
                                    PMCOL 475 - Signal Transduction Systems as Pharmacological Targets
                            "
8825,"
                                    PMCOL 497 - Honors Research Project in Pharmacology I
                            "
8826,"
                                    PMCOL 498A - Pharmacology Research Program
                            "
8827,"
                                    PMCOL 498B - Pharmacology Research Program
                            "
8828,"
                                    PMCOL 499 - Honors Research Project in Phamacology II
                            "
8829,"
                                    PMCOL 501 - Pharmacology Tutorial, Research, and Reading Course
                            "
8830,"
                                    PMCOL 502 - Pharmacology Tutorial, Research, and Reading Course
                            "
8831,"
                                    PMCOL 508 - Molecular Pharmacology
                            "
8832,"
                                    PMCOL 510 - Advanced Topics
                            "
8833,"
                                    PMCOL 511 - Advanced Topics
                            "
8834,"
                                    PMCOL 512 - Pharmacology of the Synapse
                            "
8835,"
                                    PMCOL 514 - Biophysical Aspects of Ion Channel Pharmacology
                            "
8836,"
                                    PMCOL 515 - Advanced Topics in Cardiovascular Pharmacology
                            "
8837,"
                                    PMCOL 525 - Problem Solving in Pharmacology and Therapeutics
                            "
8838,"
                                    PMCOL 550 - Introduction to the Pharmacology of Diabetes
                            "
8839,"
                                    PMCOL 575 - Signal Transduction Systems as Pharmacological Targets
                            "
8840,"
                                    PMCOL 612 - Drugs and the Nervous System
                            "
8841,"
                                    PMCOL 698 - Undergraduate Research Mentoring
                            "
8842,"
                                    PMCOL 699A - Undergraduate Research Mentoring
                            "
8843,"
                                    PMCOL 699B - Undergraduate Research Mentoring
                            "
8844,"
                                    POL S 101 - Introduction to Politics
                            "
8845,"
                                    
                                        Starting: 2023-09-01
                                    
                                    POL S 101 - Introduction to Politics
                            "
8846,"
                                    POL S 201 - Introduction to Indigenous Politics
                            "
8847,"
                                    POL S 211 - Introduction to History of Political Theory
                            "
8848,"
                                    POL S 212 - Introduction to Contemporary Political Theory
                            "
8849,"
                                    POL S 223 - City Government and Politics
                            "
8850,"
                                    POL S 224 - Canadian Government
                            "
8851,"
                                    POL S 225 - Canadian Politics
                            "
8852,"
                                    POL S 235 - Introduction to Comparative Politics
                            "
8853,"
                                    POL S 237 - Introduction to Chinese Politics
                            "
8854,"
                                    POL S 250 - The Politics of Gender
                            "
8855,"
                                    POL S 261 - International Relations
                            "
8856,"
                                    POL S 298 - Topics in Political Science
                            "
8857,"
                                    POL S 299 - Citizenship for Democracy
                            "
8858,"
                                    POL S 302 - Topics in Political Theory
                            "
8859,"
                                    POL S 304 - Modern Political Theory
                            "
8860,"
                                    POL S 305 - Contemporary Political Theory
                            "
8861,"
                                    POL S 323 - Elections in Canada
                            "
8862,"
                                    POL S 324 - Topics in Canadian Politics
                            "
8863,"
                                    POL S 326 - Canadian Health Politics
                            "
8864,"
                                    POL S 327 - Indigenous Politics in Canada
                            "
8865,"
                                    POL S 328 - Managing Modern Government
                            "
8866,"
                                    POL S 329 - Global Indigenous Politics
                            "
8867,"
                                    POL S 331 - Indigenous Feminist Politics
                            "
8868,"
                                    POL S 332 - Introduction to United States Politics and Government
                            "
8869,"
                                    POL S 333 - Ecology and Politics
                            "
8870,"
                                    POL S 334 - North American Politics
                            "
8871,"
                                    POL S 351 - Topics in Gender and Politics
                            "
8872,"
                                    POL S 354 - Topics in Comparative Politics
                            "
8873,"
                                    POL S 359 - Topics in International Politics
                            "
8874,"
                                    POL S 360 - Politics of International Development
                            "
8875,"
                                    POL S 364 - Introduction to International Political Economy
                            "
8876,"
                                    POL S 365 - Canadian Foreign Policy
                            "
8877,"
                                    POL S 369 - The Politics of Money
                            "
8878,"
                                    POL S 370 - Politics of the European Union
                            "
8879,"
                                    POL S 371 - Populism and Democracy in Central Europe
                            "
8880,"
                                    POL S 375 - Politics of East Asia
                            "
8881,"
                                    POL S 380 - Politics in the Middle East
                            "
8882,"
                                    POL S 390 - Law and Politics
                            "
8883,"
                                    POL S 391 - Canadian Political Parties
                            "
8884,"
                                    POL S 398 - Topics in Politics
                            "
8885,"
                                    POL S 399 - Third-Year Honors Seminar
                            "
8886,"
                                    POL S 404 - Topics in Political Theory
                            "
8887,"
                                    POL S 410 - Topics in Contemporary Political Theory
                            "
8888,"
                                    POL S 411 - Quantitative Political Analysis
                            "
8889,"
                                    POL S 417 - Topics in Human Rights
                            "
8890,"
                                    POL S 418 - Media and Politics in Canada
                            "
8891,"
                                    POL S 419 - Politics of the Canadian Constitution
                            "
8892,"
                                    POL S 421 - Topics in Canadian Politics
                            "
8893,"
                                    POL S 422 - Political Behaviour
                            "
8894,"
                                    POL S 423 - Canadian Federalism
                            "
8895,"
                                    POL S 424 - Health Policy
                            "
8896,"
                                    POL S 425 - Ethnicity, Immigration and Social Policy
                            "
8897,"
                                    POL S 429 - Government and Politics of Alberta
                            "
8898,"
                                    POL S 433 - City Politics
                            "
8899,"
                                    POL S 436 - Topics in Indigenous Politics
                            "
8900,"
                                    POL S 437 - Indigenous Political Thought
                            "
8901,"
                                    POL S 440 - Topics in Canadian Public Policy
                            "
8902,"
                                    POL S 441 - Gender and Public Policy
                            "
8903,"
                                    POL S 442 - The Canadian State and Identity Politics
                            "
8904,"
                                    POL S 443 - Globalization, Ethnic Politics and the Nation-State
                            "
8905,"
                                    POL S 444 - Global Critical Race Theory
                            "
8906,"
                                    POL S 445 - Topics in Globalization and Governance
                            "
8907,"
                                    POL S 448 - Gender Politics and Mass Media
                            "
8908,"
                                    POL S 452 - Politics in the Middle East and North Africa
                            "
8909,"
                                    POL S 455 - Topics in Gender and Politics
                            "
8910,"
                                    POL S 458 - United States Foreign Policy
                            "
8911,"
                                    POL S 459 - Topics in International Politics
                            "
8912,"
                                    POL S 460 - Global Security
                            "
8913,"
                                    POL S 461 - International Relations of the Middle East
                            "
8914,"
                                    POL S 462 - Political Economy of Global Governance
                            "
8915,"
                                    POL S 464 - Gender, Conflict and Security
                            "
8916,"
                                    POL S 467 - Chinese Foreign Policy
                            "
8917,"
                                    POL S 468 - International Organization
                            "
8918,"
                                    POL S 469 - Ethics in International Relations
                            "
8919,"
                                    POL S 470 - Topics in Comparative Politics
                            "
8920,"
                                    POL S 475 - Politics of China and Japan
                            "
8921,"
                                    POL S 477 - Islam, Modernity, and Democracy
                            "
8922,"
                                    POL S 479 - NGO Governance and Management
                            "
8923,"
                                    POL S 484 - Topics in United States Politics and Policy
                            "
8924,"
                                    POL S 486 - Topics in European Politics
                            "
8925,"
                                    POL S 487 - Topics in European Union Politics
                            "
8926,"
                                    POL S 488 - The Politics of Mexico
                            "
8927,"
                                    POL S 499A - Honors Essay: Fourth-Year Honors Political Science
                            "
8928,"
                                    POL S 499B - Honors Essay: Fourth-Year Honors Political Science
                            "
8929,"
                                    POL S 504 - Policy Studies: Theories and Approaches
                            "
8930,"
                                    POL S 511 - Quantitative Political Analysis
                            "
8931,"
                                    POL S 514 - Contemporary Political Theory
                            "
8932,"
                                    POL S 515 - Topics in Political Theory
                            "
8933,"
                                    POL S 517 - Topics in Human Rights
                            "
8934,"
                                    POL S 520 - Topics in Canadian Politics
                            "
8935,"
                                    POL S 522 - Canadian Federalism
                            "
8936,"
                                    POL S 524 - Health Policy
                            "
8937,"
                                    POL S 525 - Ethnicity, Immigration and Social Policy
                            "
8938,"
                                    POL S 526 - Selected Topics in Urban Politics
                            "
8939,"
                                    POL S 527 - Power, Politics, and Policymaking in Canada
                            "
8940,"
                                    POL S 528 - Topics in the Politics of Public Administration
                            "
8941,"
                                    POL S 529 - Politics, Policy, and Governance in Alberta I
                            "
8942,"
                                    POL S 530 - Politics, Policy, and Governance in Alberta II
                            "
8943,"
                                    POL S 531 - Law and Policy
                            "
8944,"
                                    POL S 532 - Indigenous Engagement, Governance, and Policy
                            "
8945,"
                                    POL S 536 - Topics in Indigenous Politics
                            "
8946,"
                                    POL S 537 - Indigenous Political Thought
                            "
8947,"
                                    POL S 540 - Topics in Public Policy
                            "
8948,"
                                    POL S 542 - The Canadian State and Identity Politics
                            "
8949,"
                                    POL S 543 - Globalization, Ethnic Politics and the Nation-State
                            "
8950,"
                                    POL S 544 - Global Critical Race Theory
                            "
8951,"
                                    POL S 545 - Selected Fields of Public Policy
                            "
8952,"
                                    POL S 551 - Topics in Comparative Politics: Industrialized Countries
                            "
8953,"
                                    POL S 553 - Political Behaviour
                            "
8954,"
                                    POL S 558 - Gender Politics and Mass Media
                            "
8955,"
                                    POL S 559 - Topics in Comparative Public Policy
                            "
8956,"
                                    POL S 560 - Topics in International Relations
                            "
8957,"
                                    POL S 561 - International Relations of the Middle East
                            "
8958,"
                                    POL S 565 - Topics in Foreign Policy Analysis
                            "
8959,"
                                    POL S 566 - Topics in International Political Economy
                            "
8960,"
                                    POL S 571 - Topics in Comparative Politics: Comparative Development
                            "
8961,"
                                    POL S 577 - Islam, Modernity, and Democracy
                            "
8962,"
                                    POL S 578 - Asian Systems
                            "
8963,"
                                    POL S 579 - NGO Governance and Management
                            "
8964,"
                                    POL S 580 - European Politics
                            "
8965,"
                                    POL S 596 - Topics in Gender and Politics
                            "
8966,"
                                    POL S 599 - Introduction to the Discipline of Political Science
                            "
8967,"
                                    POL S 600 - Theories and Methods of Comparative Politics
                            "
8968,"
                                    POL S 610 - Political Theory
                            "
8969,"
                                    POL S 621 - Canadian Government and Politics
                            "
8970,"
                                    POL S 622 - Contemporary Canadian Political Issues
                            "
8971,"
                                    POL S 629 - Readings in Canadian Politics
                            "
8972,"
                                    POL S 660 - Theories of International Politics I
                            "
8973,"
                                    POL S 668 - Readings in International Studies
                            "
8974,"
                                    POL S 680 - Theories and Methods of Political Inquiry
                            "
8975,"
                                    POL S 690 - Gender and Politics
                            "
8976,"
                                    POL S 696 - Readings in Gender and Politics
                            "
8977,"
                                    POL S 803 - Policy Studies Practicum I
                            "
8978,"
                                    POL S 804 - Policy Studies Practicum II
                            "
8979,"
                                    POL S 900 - Directed Research Project
                            "
8980,"
                                    POL S 900A - Directed Research Project
                            "
8981,"
                                    POL S 900B - Directed Research Project
                            "
8982,"
                                    POL S 901 - Directed Study in Policy Studies
                            "
8983,"
                                    POL S 902 - Policy Studies Capstone Seminar
                            "
8984,"
                                    POL S 906 - Directed Research Project
                            "
8985,"
                                    POL S 906A - Directed Research Project
                            "
8986,"
                                    POL S 906B - Directed Research Project
                            "
8987,"
                                    POLSH 111 - Beginners' Polish I
                            "
8988,"
                                    POLSH 112 - Beginners' Polish II
                            "
8989,"
                                    POLSH 211 - Second-Year Polish I
                            "
8990,"
                                    POLSH 212 - Second-Year Polish II
                            "
8991,"
                                    POLSH 303 - Advanced Polish I
                            "
8992,"
                                    POLSH 304 - Advanced Polish II
                            "
8993,"
                                    POLSH 407 - Business Polish
                            "
8994,"
                                    POLSH 443 - Polish-English Translation
                            "
8995,"
                                    POLSH 444 - English-Polish Translation
                            "
8996,"
                                    POLSH 499 - Special Topics
                            "
8997,"
                                    PORT 111 - Beginners' Portuguese I
                            "
8998,"
                                    PORT 112 - Beginners' Portuguese II
                            "
8999,"
                                    PORT 211 - Intermediate Portuguese I
                            "
9000,"
                                    PORT 212 - Intermediate Portuguese II
                            "
9001,"
                                    PORT 221 - Portuguese for Spanish Speaker I
                            "
9002,"
                                    PORT 222 - Portuguese for Spanish Speaker II
                            "
9003,"
                                    PSSTC 100 - Rôle et Responsabilités d'un Préposé aux soins de santé
                            "
